Title;Scrapping Date;Article Date;Author;Link;Content
Bahana TCW Cermati Risiko Pasar;2024-08-21T14:36:08.549Z;;;https://businessnews.co.id/2023/06/14/bahana-tcw-cermati-risiko-pasar/;
Lelang SBN Terakhir di 2022, Pemerintah Serap Rp15,5 Triliun;2024-08-21T14:36:08.549Z;;;https://businessnews.co.id/2022/12/06/lelang-sbn-terakhir-di-2022-pemerintah-serap-rp155-triliun/;
BRI Terbitkan Green Bond Rp5 T untuk Biayai Proyek Ekonomi Hijau;2024-08-21T14:36:08.550Z;;;https://businessnews.co.id/2022/10/01/bri-terbitkan-green-bond-rp5-t-untuk-biayai-proyek-ekonomi-hijau/;
Implementasikan Green Banking, BNI Biayai Pemasangan PLTS Pabrik KALBE Nutritionals;2024-08-21T14:36:08.550Z;;;https://businessnews.co.id/2022/07/08/implementasikan-green-banking-bni-biayai-pemasangan-plts-pabrik-kalbe-nutritionals/;
PKPU Disetujui, Garuda Indonesia Akselerasi Pemulihan Kinerja;2024-08-21T14:36:08.551Z;;;https://businessnews.co.id/2022/06/27/pkpu-disetujui-garuda-indonesia-akselerasi-pemulihan-kinerja/;
Transformasi Digital dan Kinerja, Telkom Berhasil Gaet Investor Asing;2024-08-21T14:36:08.984Z;;;https://businessnews.co.id/2021/11/22/transformasi-digital-dan-kinerja-telkom-berhasil-gaet-investor-asing/;
Pemerintah Terus Undang Investor Asing untuk Garap Kendaraan Listrik di Indonesia;2024-08-21T14:36:08.985Z;;;https://businessnews.co.id/2021/03/05/pemerintah-terus-undang-investor-asing-untuk-garap-kendaraan-listrik-di-indonesia/;
10 Saham Paling Diminati Investor Asing Per 24 Maret 2020;2024-08-21T14:36:08.986Z;;;https://businessnews.co.id/2020/03/24/10-saham-paling-diminati-investor-asing-per-24-maret-2020/;
Aliran Dana Asing ke IHSG Berpotensi Berlanjut, IPOT Rekomendasikan 3 Saham untuk Trading Minggu Ini;2024-08-21T14:36:08.987Z;;;https://businessnews.co.id/2024/04/22/aliran-dana-asing-ke-ihsg-berpotensi-berlanjut-ipot-rekomendasikan-3-saham-untuk-trading-minggu-ini/;
Pemerintah Tak Berdaya di Hadapan Investor Mobil Listrik;2024-08-21T14:36:08.988Z;;;https://businessnews.co.id/2024/04/22/pemerintah-tak-berdaya-di-hadapan-investor-mobil-listrik/;
Investasi pada Reksa Dana, Investor Tidak Dibebankan Pajak Secara Langsung;2024-08-21T14:36:08.989Z;;;https://businessnews.co.id/2023/09/24/investasi-pada-reksa-dana-investor-tidak-dibebankan-pajak-secara-langsung/;
450 Hektar Habis Terjual, PTPP Yakin KIT Batang Diminati Investor;2024-08-21T14:36:08.990Z;;;https://businessnews.co.id/2022/06/14/450-hektar-habis-terjual-ptpp-yakin-kit-batang-diminati-investor/;
Diminati Investor, PTPP Bagun Industri Baterai Listrik Terintegrasi di KIT Batang;2024-08-21T14:36:08.990Z;;;https://businessnews.co.id/2022/06/13/diminati-investor-ptpp-bagun-industri-baterai-listrik-terintegrasi-di-kit-batang/;
Kumpulkan Investor, Hutama Karya bakal Lepas 7 Aset Properti;2024-08-21T14:36:08.991Z;;;https://businessnews.co.id/2022/02/08/kumpulkan-investor-hutama-karya-bakal-lepas-7-aset-properti/;
Sambut Investor Retail, Syailendra Capital Luncurkan Aplikasi YO! Inves;2024-08-21T14:36:08.992Z;;;https://businessnews.co.id/2021/10/13/sambut-investor-retail-syailendra-capital-luncurkan-aplikasi-yo-inves/;
Pekan Kedua September, BI Catat Modal Asing Masuk Ke RI Capai Rp 1,66 triliun;2024-08-21T14:36:08.993Z;;;https://businessnews.co.id/2021/09/11/pekan-kedua-september-bi-catat-modal-asing-masuk-ke-ri-capai-rp-166-triliun/;
Modal Asing Keluar dari RI capai Rp 3,31 triliun;2024-08-21T14:36:08.994Z;;;https://businessnews.co.id/2021/06/19/modal-asing-keluar-dari-ri-capai-rp-331-triliun/;
BI Catat Modal Asing Masuk Rp 6.13 Triliun dalam Sepekan;2024-08-21T14:36:08.995Z;;;https://businessnews.co.id/2021/05/29/bi-catat-modal-asing-masuk-rp-613-triliun-dalam-sepekan/;
Kerjasama BNI dengan Japan Regional Banks, Mudahkan Bisnis 400 Investor Jepang di Indonesia;2024-08-21T14:36:08.996Z;;;https://businessnews.co.id/2020/07/30/kerjasama-bni-dengan-japan-regional-banks-mudahkan-bisnis-400-investor-jepang-di-indonesia/;
Jembatani Calon Investor Luar Negeri, Indonesia Luncurkan Laman Informasi dan Konsultasi;2024-08-21T14:36:08.997Z;;;https://businessnews.co.id/2020/07/22/jembatani-calon-investor-luar-negeri-indonesia-luncurkan-laman-informasi-dan-konsultasi/;
BNI Permudah 400 Investor Jepang Berbisnis di Indonesia;2024-08-21T14:36:08.998Z;;;https://businessnews.co.id/2020/07/16/bni-permudah-400-investor-jepang-berbisnis-di-indonesia/;
Bank DBS Indonesia Gelar Indonesia-China Business Forum 2024;2024-08-21T14:36:09.001Z;;;https://businessnews.co.id/2024/05/29/bank-dbs-indonesia-gelar-indonesia-china-business-forum-2024/;
Fenomena Window Dressing, Apa Pengaruhnya ke Reksa Dana?;2024-08-21T14:36:09.003Z;;;https://businessnews.co.id/2024/04/29/fenomena-window-dressing-gimana-pengaruhnya-ke-reksa-dana/;
Menilik Prospek Reksa Dana Saham di Tahun 2024;2024-08-21T14:36:09.003Z;;;https://businessnews.co.id/2024/04/26/menilik-prospek-reksa-dana-saham-di-tahun-2024/;
IHSG Diproyeksi Sentuh Level 7.400 pada Kuartal I-2024;2024-08-21T14:36:09.004Z;;;https://businessnews.co.id/2024/04/22/ihsg-diproyeksi-sentuh-level-7-400-pada-kuartal-i-2024/;
Fitch Ratings Pertahankan Peringkat Kredit RI BBB;2024-08-21T14:36:09.005Z;;;https://businessnews.co.id/2024/02/06/fitch-ratings-pertahankan-peringkat-kredit-ri-bbb/;
PT SMI Dorong Pembangunan Nasional Melalui Inovasi dan Pengelolaan Human Capital;2024-08-21T14:36:09.006Z;;;https://businessnews.co.id/2023/10/20/pt-smi-dorong-pembangunan-nasional-melalui-inovasi-dan-pengelolaan-human-capital/;
Suku Bunga Acuan Diperkirakan Tetap Hingga Akhir Tahun;2024-08-21T14:36:09.007Z;;;https://businessnews.co.id/2023/09/20/suku-bunga-acuan-diperkirakan-tetap-hingga-akhir-tahun/;
Sekuritas Rupiah Bank Indonesia Kompetisi Pasar Surat Utang Jangka Pendek Semakin Ketat;2024-08-21T14:36:09.008Z;;;https://businessnews.co.id/2023/09/06/sekuritas-rupiah-bank-indonesia-kompetisi-pasar-surat-utang-jangka-pendek-semakin-ketat/;
Ekonom Nilai Kinerja Positif PHE Jadi Daya Tarik Penjualan Saham;2024-08-21T14:36:09.010Z;;;https://businessnews.co.id/2023/08/01/ekonom-nilai-kinerja-positif-phe-jadi-daya-tarik-penjualan-saham/;
